-------------------------------------------------------------------------------------------------------------------------
 		Name		 | 	Average		 | 	 Min		 | 	 Max		 | 	 Call		 |
-------------------------------------------------------------------------------------------------------------------------
	 ConsoleBufferClear_0 		| 	1.5170us		| 	1.1000us		| 	73.9000us		 | 	1210		
	 ConsoleBufferFlip_0 		| 	5658.1018us		| 	3175.6000us		| 	791191.7000us		 | 	1267		
	 ConsoleMoveCursor_0 		| 	52.9143us		| 	18.9000us		| 	36999.0000us		 | 	53378		
	 ConsoleSpriteDraw_0 		| 	0.7773us		| 	0.5000us		| 	160.4000us		 | 	108794		
	 EnemyAttack_0 		| 	8.3864us		| 	0.7000us		| 	418.2000us		 | 	1217		
	 EnemyClearCheck_0 		| 	0.8059us		| 	0.6000us		| 	582.1000us		 | 	1217		
	 EnemyGetDamage_0 		| 	0.7038us		| 	0.6000us		| 	2.0000us		 | 	26		
	 EnemyMove_0 		| 	1.1846us		| 	0.8000us		| 	76.5000us		 | 	1217		
	 EnemyRender_0 		| 	70.1782us		| 	0.7000us		| 	3275.3000us		 | 	1210		
	 EnemyUpdate_0 		| 	33.0737us		| 	18.2000us		| 	642.7000us		 | 	1217		
	 GameMain_0 		| 	20091.6192us		| 	4733.9000us		| 	791256.5000us		 | 	1267		
	 MissileCollision_0 		| 	36.1532us		| 	7.9000us		| 	603.0000us		 | 	1217		
	 MissileEnemyCreate_0 		| 	1.0126us		| 	0.6000us		| 	183.4000us		 | 	992		
	 MissileMove_0 		| 	71.3077us		| 	25.5000us		| 	378.3000us		 | 	1217		
	 MissilePlayerDefualtCreate_0 		| 	0.9068us		| 	0.6000us		| 	48.4000us		 | 	206		
	 MissileRender_0 		| 	453.8480us		| 	160.1000us		| 	5347.9000us		 | 	1210		
	 MissileUpdate_0 		| 	125.6288us		| 	71.3000us		| 	1105.7000us		 | 	1217		
	 PlayerAttack_0 		| 	2.2670us		| 	0.6000us		| 	60.9000us		 | 	1217		
	 PlayerMove_0 		| 	0.9286us		| 	0.7000us		| 	527.6000us		 | 	1217		
	 PlayerRender_0 		| 	97.4477us		| 	72.1000us		| 	4387.4000us		 | 	1210		
	 PlayerUpdate_0 		| 	16.6300us		| 	11.7000us		| 	622.5000us		 | 	1217		
-------------------------------------------------------------------------------------------------------------------------
