-------------------------------------------------------------------------------------------------------------------------
 		Name		 | 	Average		 | 	 Min		 | 	 Max		 | 	 Call		 |
-------------------------------------------------------------------------------------------------------------------------
	 ConsoleBufferClear_0 		| 	1.4260us		| 	1.0000us		| 	232.7000us		 | 	3303		
	 ConsoleBufferFlip_0 		| 	7288.7706us		| 	3256.4000us		| 	2041852.6000us		 | 	3411		
	 ConsoleMoveCursor_0 		| 	74.8934us		| 	18.2000us		| 	77368.0000us		 | 	143426		
	 ConsoleSpriteDraw_0 		| 	0.7780us		| 	0.5000us		| 	4651.1000us		 | 	418356		
	 EnemyAttack_0 		| 	12.6257us		| 	0.7000us		| 	4097.0000us		 | 	3761		
	 EnemyClearCheck_0 		| 	0.8454us		| 	0.6000us		| 	81.6000us		 | 	3761		
	 EnemyGetDamage_0 		| 	0.7093us		| 	0.6000us		| 	39.9000us		 | 	107		
	 EnemyMove_0 		| 	1.4117us		| 	0.7000us		| 	139.0000us		 | 	3761		
	 EnemyRelease_0 		| 	3.5000us		| 	0.7000us		| 	9.5000us		 | 	2		
	 EnemyRender_0 		| 	124.8429us		| 	0.7000us		| 	5071.6000us		 | 	3303		
	 EnemyUpdate_0 		| 	43.3354us		| 	18.0000us		| 	38889.6000us		 | 	3761		
	 GameMain_0 		| 	21851.6808us		| 	6245.3000us		| 	2043963.4000us		 | 	3411		
	 MissileCollision_0 		| 	37.7932us		| 	7.4000us		| 	45344.3000us		 | 	3761		
	 MissileEnemyCreate_0 		| 	0.9976us		| 	0.6000us		| 	77.0000us		 | 	4628		
	 MissileMove_0 		| 	49.6945us		| 	21.1000us		| 	3255.7000us		 | 	3761		
	 MissilePlayerDefualtCreate_0 		| 	0.8357us		| 	0.6000us		| 	119.1000us		 | 	566		
	 MissileRelease_0 		| 	50.6000us		| 	24.6000us		| 	68.4000us		 | 	2		
	 MissileRender_0 		| 	666.3954us		| 	63.1000us		| 	29341.5000us		 | 	3303		
	 MissileUpdate_0 		| 	113.5796us		| 	50.9000us		| 	45410.3000us		 | 	3761		
	 PlayerAttack_0 		| 	2.3974us		| 	0.6000us		| 	10062.5000us		 | 	3761		
	 PlayerGetDamage_0 		| 	0.7000us		| 	0.6000us		| 	1.7000us		 | 	26		
	 PlayerMove_0 		| 	1.0307us		| 	0.7000us		| 	427.1000us		 | 	3761		
	 PlayerRender_0 		| 	104.1132us		| 	70.7000us		| 	4124.2000us		 | 	3303		
	 PlayerUpdate_0 		| 	20.0647us		| 	11.9000us		| 	10090.8000us		 | 	3761		
-------------------------------------------------------------------------------------------------------------------------
